grid_width,grid_height,generations,density,seed,repetitions,v0_median_seconds,v1_median_seconds,speedup,runtime_reduction_percent,v0_cv_percent,v1_cv_percent,live_cells,checksum
512,512,800,35,12345,5,5.700869360,1.276579850,4.465737,77.607278,0.041868,0.279608,12555,15060713646708581250
1024,1024,800,35,12345,5,22.764008200,5.069925500,4.490008,77.728327,0.052081,0.126138,46221,5618886287333370134
2048,2048,800,35,12345,5,90.852169800,20.354371500,4.463521,77.596164,0.092678,0.093286,191087,4873404224917354866
