version,source_commit,tag,grid_width,grid_height,generations,density,seed,repetitions,mean_seconds,median_seconds,min_seconds,max_seconds,sample_stddev_seconds,cv_percent,live_cells,checksum,hostname,job_id
v1_precomputed_wrap,b6f45e2596b0babb0565697c7250c3ab039f4511,v1_precomputed_wrap,512,512,800,35,12345,5,1.277555346,1.276579850,1.274312230,1.282113510,0.003572146,0.279608,12555,15060713646708581250,a100-0,562440
v1_precomputed_wrap,b6f45e2596b0babb0565697c7250c3ab039f4511,v1_precomputed_wrap,1024,1024,800,35,12345,5,5.065912260,5.069925500,5.056873580,5.071082220,0.006390028,0.126138,46221,5618886287333370134,a100-0,562440
v1_precomputed_wrap,b6f45e2596b0babb0565697c7250c3ab039f4511,v1_precomputed_wrap,2048,2048,800,35,12345,5,20.355497420,20.354371500,20.334808500,20.386029200,0.018988791,0.093286,191087,4873404224917354866,a100-0,562440
