grid_width,grid_height,generations,density,seed,repetitions,v0_median_seconds,v1_median_seconds,v2_median_seconds,v3_median_seconds,v3_speedup_vs_v0,v3_speedup_vs_v1,v3_incremental_speedup_vs_v2,v3_runtime_reduction_vs_v0_percent,v3_runtime_reduction_vs_v1_percent,v3_runtime_reduction_vs_v2_percent,v0_cv_percent,v1_cv_percent,v2_cv_percent,v3_cv_percent,live_cells,checksum
512,512,800,35,12345,5,5.700869360,1.276579850,1.063583010,1.010598950,5.641080,1.263191,1.052428,82.272898,20.835430,4.981657,0.041868,0.279608,0.421498,0.458922,12555,15060713646708581250
1024,1024,800,35,12345,5,22.764008200,5.069925500,4.206093940,4.002820110,5.686993,1.266588,1.050783,82.416014,21.047753,4.832841,0.052081,0.126138,0.035717,0.114612,46221,5618886287333370134
2048,2048,800,35,12345,5,90.852169800,20.354371500,16.924774400,16.074788300,5.651842,1.266230,1.052877,82.306654,21.025376,5.022141,0.092678,0.093286,0.053105,0.087315,191087,4873404224917354866
