version,source_commit,tag,grid_width,grid_height,generations,density,seed,repetitions,mean_seconds,median_seconds,min_seconds,max_seconds,sample_stddev_seconds,cv_percent,live_cells,checksum,hostname,job_id
v2_contiguous_grid,eb599a441f759ace2fd3a693e51baf73dc568321,v2_contiguous_grid,512,512,800,35,12345,5,1.063404866,1.063583010,1.059270670,1.070473800,0.004482229,0.421498,12555,15060713646708581250,a100-0,562443
v2_contiguous_grid,eb599a441f759ace2fd3a693e51baf73dc568321,v2_contiguous_grid,1024,1024,800,35,12345,5,4.205685732,4.206093940,4.203945250,4.207474910,0.001502154,0.035717,46221,5618886287333370134,a100-0,562443
v2_contiguous_grid,eb599a441f759ace2fd3a693e51baf73dc568321,v2_contiguous_grid,2048,2048,800,35,12345,5,16.922391360,16.924774400,16.912102400,16.933579100,0.008986707,0.053105,191087,4873404224917354866,a100-0,562443
