grid_width,grid_height,generations,density,seed,repetitions,v0_median_seconds,v1_median_seconds,v2_median_seconds,v1_speedup_vs_v0,v2_speedup_vs_v0,v2_incremental_speedup_vs_v1,v1_runtime_reduction_vs_v0_percent,v2_runtime_reduction_vs_v0_percent,v2_runtime_reduction_vs_v1_percent,v0_cv_percent,v1_cv_percent,v2_cv_percent,live_cells,checksum
512,512,800,35,12345,5,5.700869360,1.276579850,1.063583010,4.465737,5.360061,1.200263,77.607278,81.343494,16.684960,0.041868,0.279608,0.421498,12555,15060713646708581250
1024,1024,800,35,12345,5,22.764008200,5.069925500,4.206093940,4.490008,5.412149,1.205376,77.728327,81.523052,17.038348,0.052081,0.126138,0.035717,46221,5618886287333370134
2048,2048,800,35,12345,5,90.852169800,20.354371500,16.924774400,4.463521,5.367999,1.202638,77.596164,81.371084,16.849437,0.092678,0.093286,0.053105,191087,4873404224917354866
